"Id","SalePrice"
1461,131555.171875
1462,160168.796875
1463,180301.6875
1464,189972.109375
1465,187468.703125
1466,172830.859375
1467,171762.453125
1468,166672.96875
1469,188539.328125
1470,121787.859375
1471,211039.609375
1472,98170.375
1473,94968.296875
1474,153204.1875
1475,119856.796875
1476,353724.375
1477,258031.953125
1478,300236.9375
1479,237773.875
1480,462547.1875
1481,308022.78125
1482,201374.96875
1483,166635.96875
1484,160512.203125
1485,177582.921875
1486,187677.453125
1487,327411.53125
1488,233769.328125
1489,216682.71875
1490,188688.09375
1491,182903.34375
1492,92271.8359375
1493,218000.21875
1494,285036.40625
1495,272734.6875
1496,218803.625
1497,182480.71875
1498,163867.3125
1499,162917.703125
1500,154593.875
1501,183578.421875
1502,157404.296875
1503,293374.34375
1504,230973.203125
1505,228471.578125
1506,203434.90625
1507,247328.421875
1508,207585.515625
1509,170049.59375
1510,146083.734375
1511,141519.65625
1512,155050.59375
1513,143909.671875
1514,169841.5
1515,199175.75
1516,156406.125
1517,159506.28125
1518,122029.953125
1519,227475.90625
1520,134326.296875
1521,140463.0625
1522,164093.90625
1523,113804.84375
1524,118560.8984375
1525,126978.1953125
1526,130616.6328125
1527,105351.2578125
1528,138625.65625
1529,145659.40625
1530,163945.28125
1531,90162.734375
1532,105729
1533,143780.15625
1534,113557.296875
1535,137739.875
1536,109622.8515625
1537,76511.7421875
1538,201278.84375
1539,188084.890625
1540,102625.1953125
1541,148018.03125
1542,139236.34375
1543,210750.375
1544,68288.3125
1545,102286.4375
1546,130205.3203125
1547,134428.03125
1548,134928.109375
1549,123471.6640625
1550,153569.390625
1551,106855.8203125
1552,141123.625
1553,135603.703125
1554,126417.578125
1555,151683.125
1556,88504.7109375
1557,98186.7109375
1558,83060.109375
1559,112557.7578125
1560,132157.25
1561,131444.609375
1562,125567.5859375
1563,122535.25
1564,150938.78125
1565,148953.8125
1566,222794.078125
1567,89590.328125
1568,229752.34375
1569,122888.84375
1570,137528.1875
1571,137045.359375
1572,144676.46875
1573,237389.96875
1574,74069.109375
1575,209132.15625
1576,207624.40625
1577,209494.953125
1578,145730.6875
1579,138039.734375
1580,190710.59375
1581,142221.890625
1582,132120.953125
1583,350175.59375
1584,238035.75
1585,138818.421875
1586,71639.140625
1587,99980.0546875
1588,158209.421875
1589,94014.109375
1590,122798.3828125
1591,91603.0625
1592,106499.796875
1593,121522.34375
1594,133828.109375
1595,97918.8828125
1596,251128.9375
1597,171209.734375
1598,202940.890625
1599,189491.9375
1600,188930
1601,72507.1484375
1602,113234.328125
1603,99210.140625
1604,273638.8125
1605,236260.1875
1606,175197.34375
1607,147553.609375
1608,217477.546875
1609,189165.328125
1610,164414.734375
1611,150771.28125
1612,162602.078125
1613,156173.140625
1614,130481.78125
1615,87340.21875
1616,73780.7890625
1617,92501.421875
1618,133030.75
1619,137986.296875
1620,159152.21875
1621,120070.6484375
1622,142061.734375
1623,308502.46875
1624,205210.203125
1625,122657.484375
1626,169783.375
1627,183569.625
1628,268696.875
1629,168965.625
1630,419806.4375
1631,223968.921875
1632,243040.859375
1633,170478.734375
1634,183291.59375
1635,192020.765625
1636,165215.921875
1637,181438.65625
1638,196725.8125
1639,179628.5
1640,270287.09375
1641,175579.4375
1642,231144.609375
1643,208395.203125
1644,227256.9375
1645,182278.21875
1646,155548.859375
1647,161862.59375
1648,131349.375
1649,143271.15625
1650,121093.7421875
1651,120680.3125
1652,96172.421875
1653,100229.3125
1654,145959.703125
1655,137170.984375
1656,147156.0625
1657,155996.375
1658,146366.84375
1659,133131.265625
1660,151374.421875
1661,475459.125
1662,413676.84375
1663,389394.25
1664,441856.0625
1665,310780.46875
1666,301103.59375
1667,383799.75
1668,330845.40625
1669,292773.03125
1670,301394.0625
1671,272695.0625
1672,508703.34375
1673,301927.96875
1674,249599.265625
1675,182096.40625
1676,191016.59375
1677,217830.390625
